frame,vis_score,vis_label,n_obj,n_danger,n_caution,n_safe,nearest_m,min_ttc,obj_classes
427,0.765,Good,4,0,2,2,12.95,0.50,vehicle;vehicle;vehicle;vehicle
430,0.772,Good,5,0,1,4,15.32,,vehicle;vehicle;vehicle;vehicle;vehicle
433,0.783,Good,5,0,1,4,13.93,,vehicle;vehicle;pedestrian;vehicle;vehicle
436,0.800,Good,5,0,2,3,20.84,1.85,vehicle;pedestrian;vehicle;vehicle;vehicle
439,0.807,Good,5,0,3,2,19.16,,vehicle;vehicle;vehicle;vehicle;vehicle
442,0.821,Good,7,1,4,2,13.93,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
445,0.824,Good,6,2,1,3,12.10,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
448,0.836,Good,7,0,4,3,24.20,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
451,0.836,Good,6,0,2,4,29.66,,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
454,0.827,Good,10,0,6,4,22.99,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;pedestrian;vehicle;vehicle;vehicle
457,0.823,Good,10,3,6,1,18.39,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
460,0.823,Good,9,3,1,5,8.51,0.89,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
463,0.827,Good,9,2,3,4,17.68,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;pedestrian
466,0.830,Good,10,1,5,4,20.90,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
469,0.834,Good,10,2,6,2,8.76,0.50,vehicle;vehicle;vehicle;vehicle;vehicle;pedestrian;vehicle;vehicle;vehicle;vehicle
472,0.839,Good,8,1,1,6,14.83,5.58,vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle;vehicle
